experience/0/company,experience/1/company,experience/2/company,experience/3/company,experience/4/company,experience/0/date_range,experience/1/date_range,experience/2/date_range,experience/3/date_range,experience/4/date_range,experience/0/name,experience/1/name,experience/2/name,experience/3/name,experience/4/name,education/0,education/1,education/2,position
innogrit corporation,mediatek,none,none,none,"Dates Employed
Jan 2019 – Present","Dates Employed
Oct 2015 – Jan 2019",,,,"machine,learning,engineer,digital,designer","digital,designer",none,none,none,national chiao tung university,國立交通大學,none,"innogrit,corporation,machine,learning,engineer"
mediatek,ibm,d8ai eight-dimensional intelligence,none,none,"Dates Employed
Jul 2020 – Present","Dates Employed
Jul 2019 – Sep 2019","Dates Employed
Jul 2018 – Jun 2019",,,"deep,learning,research,intern","research,intern","machine,learning,intern",none,none,national taiwan university,national taiwan university,none,"deep,learning,research,intern,at,mediatek"
none,none,none,none,none,,,,,,none,none,none,none,none,national taiwan university,淡江大學,none,"asus,big,data,machine,learning,r,d,dept,manager"
roc army (taiwan),wordgod english institute,deloitte,ministry of science and technology (taiwan) apprenticeship,none,"Dates Employed
Dec 2019 – Apr 2020","Dates Employed
Jun 2018 – May 2019","Dates Employed
Jul 2018 – Dec 2018","Dates Employed
Jan 2018 – Feb 2018",,"private,second,class","english,instructor","risk,advisory,intern","undergraduate,student,researcher,in,accounting",none,soochow university,ucsc silicon valley extension,soochow university,"cmu,mism,bida,21,aspiring,pi,shaped,data,scientist,data,science,content,creator,medium,python,r,sql,actively,seeking,data,science,internships"
skywind technology,triple-ai,haintimes,four directions,skywind technology,"Dates Employed
Feb 2019 – Present","Dates Employed
Jun 2017 – Present","Dates Employed
Mar 2018 – Oct 2018","Dates Employed
May 2017 – Jun 2018","Dates Employed
Sep 2016 – May 2017","machine,learning,engineer","chief,technology,officer","blockchain,developer","senior,software,engineer","senior,app,developer",national taiwan university,national taiwan university,none,"i,dad,engineer"
dr.su neurological clinic,"jelyte, inc.",shan is -temple,wnhealthy,傳愛社會福利慈善基金會,"Dates Employed
Aug 2005 – Present","Dates Employed
Jul 2015 – Dec 2019","Dates Employed
2017 – 2018","Dates Employed
Sep 2015 – Dec 2017","Dates Employed
Jun 2015 – Dec 2015","chief,digital,marketing,officer","business,partner","chief,information,technology,officer",founder,intern,"rutgers, the state university of new jersey - rutgers business school",rutgers university-new brunswick,tamkang university,"global,marketing,analytics,machine,learning,international,experience,cspo"
yulon motor,jabil green point,none,none,none,"Dates Employed
Apr 2019 – Present","Dates Employed
Sep 2014 – Jul 2018",,,,"mes,engineer","full,stack,engineer",none,none,none,national taiwan normal university,national chung hsing university,national chin-yi university of technology,"phd,student,department,of,computer,science,and,information,engineering,national,taiwan,normal,university,ntnu"
"pacira pharmaceuticals, inc.",gilead sciences,amgen,vista biologicals corporation,none,"Dates Employed
Feb 2017 – Sep 2018","Dates Employed
Jan 2016 – Nov 2016","Dates Employed
May 2015 – Dec 2015","Dates Employed
Oct 2011 – Jun 2013",,"process,development,engineer,ii","manufacturing,technician,iv","associate,engineer","manufacturing,associate",none,swiss federal institute of technology zurich,uc san diego,mt. san antonio college,"senior,associate,engineer,at,syncore,biotechnology,co,ltd"
industrial technology research institute (itri) (industrial technology research institute (itri)),goosean media inc.,zen technologies,national chiao tung university,none,"Dates Employed
Apr 2016 – Present","Dates Employed
Feb 2007 – Jan 2008","Dates Employed
May 2006 – Dec 2006","Dates Employed
Apr 2002 – Oct 2005",,"senior,software,engineer","project,manager","senior,software,engineer","project,assistant",none,national chiao tung university,feng chia university,none,"experienced,data,analyst,software,engineer,architect,and,researcher,in,machine,learning"
bigo,asus,"academia sinica, taiwan",takema smart emotibot,none,"Dates Employed
Nov 2018 – Present","Dates Employed
Nov 2016 – Nov 2018","Dates Employed
May 2016 – Sep 2016","Dates Employed
Nov 2015 – Apr 2016",,"staff,nlp,data,scientist","research,and,development,engineer","research,assistant","research,and,development,engineer",none,national chengchi university,none,none,"software,engineer,nlp,python,nlu,competitions,ontology,machine,learning,seeking,position,in,canada,the,u,s,norway"
inova solutions usa,gemtek technologies co. ltd,kgi securities,concentrate,htc,"Dates Employed
Jan 2019 – Present","Dates Employed
Apr 2017 – Aug 2018","Dates Employed
Jun 2016 – Feb 2017","Dates Employed
Apr 2015 – May 2016","Dates Employed
Jul 2011 – Mar 2015","sr,software,engineer,in,data,analytics","deputy,director","deputy,manager","application,developer","sr,software,engineer",national sun yat-sen university,national sun yat-sen university,national sun yat-sen university,"sr,sdet,aws,certified,professional,scrummaster,csp,sm,devsecops"
concord securities,"fubon life insurance co., ltd.",concord,smart capital,none,"Dates Employed
Apr 2020 – Present","Dates Employed
Aug 2018 – Mar 2020","Dates Employed
Feb 2018 – Dec 2018","Dates Employed
Feb 2018 – Jun 2018",,"quant,researcher","machine,learning,engineer",intern,"cofounder,chief,of,technology",none,national chiao tung university,yuan-ze university,none,"quant,researcher,at,concord,securities"
"sg biomedical co., ltd.",none,none,none,none,"Dates Employed
Oct 2013 – Mar 2014",,,,,"research,engineer,internship",none,none,none,none,linköping university,national tsing hua university,dataquest.io,"data,analytics,process,engineering,professional,machine,learning,smart,manufacturing"
taiwan ai labs,breaktime inc.,none,none,none,"Dates Employed
Apr 2019 – Present","Dates Employed
Apr 2018 – Present",,,,"machine,learning,engineer","data,engineer",none,none,none,national taiwan university,national taiwan university,national taiwan university,"data,engineer,at,breaktime,inc"
viscovery creative inspiration,intel,compal communication co. ltd.,nvidia,"master integrated appliances co., ltd.","Dates Employed
Aug 2016 – Jun 2018","Dates Employed
Nov 2010 – Jun 2016","Dates Employed
May 2010 – Nov 2010","Dates Employed
Mar 2005 – May 2010","Dates Employed
Jan 2004 – Mar 2005","staff,algorithm,engineer","senior,application,engineer","principle,engineer","software,customer,engineer","software,engineer",qut (queensland university of technology),unsw,institute for information industry,"deep,learning,and,ai,enthusiast"
aquaculturing farm,"academia sinica, taiwan",none,none,none,"Dates Employed
Jan 2013 – Apr 2018","Dates Employed
Aug 2009 – Aug 2012",,,,"aquaculture,scientist","engineering,staff",none,none,none,national sun yat-sen university,東海大學,taiwan ai academy,"self,employed,in,machine,learning"
htc vive,國立中興大學,none,none,none,"Dates Employed
Nov 2017 – Present","Dates Employed
Sep 2015 – Jun 2017",,,,"software,engineer","teaching,assistant",none,none,none,national chung hsing university,中興大學,none,"algorithm,engineer"
altek corporation,none,none,none,none,"Dates Employed
Oct 2018 – Present",,,,,"deep,learning,computer,vision,engineer",none,none,none,none,national taiwan university,national taiwan university,none,"deep,learning,computer,vision,engineer"
batman,pegatron,none,none,none,"Dates Employed
Sep 2018 – Present","Dates Employed
Aug 2014 – May 2018",,,,"algorithm,engineer","data,scientist",none,none,none,national chiao tung university,national taiwan normal university,none,"deep,learning,and,computer,vision,engineer,at,bitmain"
htc,中央研究院,none,htc,none,"Dates Employed
Nov 2019 – Present","Dates Employed
Jul 2017 – Jan 2018","Dates Employed
Jun 2015 – Aug 2015",,,"deep,learning,algorithms,engineer,at,htc,research,healthcare","research,assistant",none,"summer,intern",none,national taiwan university,國立臺灣大學,none,"deep,learning,algorithms,engineer,at,htc,research,healthcare"
automotive research & testing center taiwan,audi electronics venture gmbh,gao-quan mathematics education institution,"yuanta securities investment trust co., ltd.",aviation and special forces command (roc army),"Dates Employed
Jun 2020 – Present","Dates Employed
Jul 2019 – Dec 2019","Dates Employed
Nov 2015 – Mar 2017","Dates Employed
Jul 2013 – Mar 2015","Dates Employed
Aug 2011 – Jul 2012","slam,engineer","deep,learning,research","teaching,specialist","machine,learning,researcher",soldier,rostock university,national kaohsiung university of science and technology,national kaohsiung normal university,"slam,engineer"
care that,deep force,none,none,none,"Dates Employed
May 2019 – Present","Dates Employed
Feb 2018 – Apr 2019",,,,"machine,learning,engineer","machine,learning,engineer",none,none,none,national taiwan university,national taiwan university,none,"bioinformatic,graduate,focusing,ml,dl,for,healthcare"
aics,deep force,ibm,yotta labs technology (startup),none,"Dates Employed
Dec 2019 – Present","Dates Employed
Nov 2017 – Oct 2019","Dates Employed
Sep 2014 – Dec 2014","Dates Employed
Jul 2014 – Aug 2014",,"ai,software,engineer","machine,learning,software,engineer","software,engineering,intern","software,engineering,intern",none,national taiwan university,national taiwan university,none,"ai,software,engineer"
cloud mile inc.,sap concur,the old england hotel,booking.com,topping cuisine international,"Dates Employed
Apr 2020 – Present","Dates Employed
Jun 2017 – Sep 2019","Dates Employed
Feb 2016 – May 2017","Dates Employed
Feb 2015 – Aug 2015","Dates Employed
Jul 2014 – Aug 2014","account,manager","market,development,greater,china","reservations,agent","customer,service,executiveenglishmandarin","marketing,intern",national sun yat-sen university,fudan university,none,"cloud,solutions,ai,machine,learning,digital,transformation,cloud,ai,consultant"
insilico medicine taiwan (insilico intelligence),freelance,signal processing technology,national cheng kung university,sogeti high tech,"Dates Employed
Jul 2019 – Present","Dates Employed
Apr 2013 – Jun 2019","Dates Employed
Sep 2012 – Mar 2013","Dates Employed
Jan 2010 – Nov 2011","Dates Employed
Jan 2009 – Dec 2009","ai,deep,learning,team,leader","data,scientist,algorithm,developer","expert,in,signal,processing,algorithms",researcher,"designdevelopment,engineer",aix-marseille university,limoges university,poitiers university,"data,scientist,deep,learning,scientist"
batman,augentix inc.,mediatek,mediatek,none,"Dates Employed
May 2018 – Jan 2019","Dates Employed
Apr 2017 – Mar 2018","Dates Employed
Dec 2013 – Jan 2017","Dates Employed
Jul 2011 – Aug 2011",,"senior,algorithm,engineer","senior,algorithm,engineer","summer,intern","algorithm,engineer",none,national taiwan university,udacity,national taiwan university,"algorithm,engineer"
tsmc,南亞科技,none,none,none,"Dates Employed
Jul 2016 – Present","Dates Employed
Feb 2013 – Oct 2013",,,,"cim,engineer",,none,none,none,national cheng kung university,national kaohsiung university of applied sciences,none,"machine,vision,engineer"
altek,義隆電子(elan),none,none,none,"Dates Employed
Apr 2017 – Present","Dates Employed
Dec 2013 – Apr 2017",,,,"algorithm,engineer",engineer,none,none,none,national chiao tung university,國立交通大學,jianguo middle school,"algorithm,engineer"
vivo,訊連科技,none,none,none,"Dates Employed
Jun 2019 – Present","Dates Employed
Oct 2012 – Jun 2019",,,,"algorithm,engineer","associate,principal,engineer,assistant,manager",none,none,none,national cheng kung university,國立成功大學,none,"algorithm,engineer"
lips corp.,saa symtek automation asia contract,none,none,none,"Dates Employed
Dec 2017 – Present","Dates Employed
Aug 2015 – Jul 2016",,,,"algorithm,engineer","industryacademia,collaboration,researcher",none,none,none,national central university,國立高雄大學,none,"algorithm,engineer"
happy coding happy coding contract,新宇科技有限公司 contract,ministry of science and technology (taiwan),kaohsiung municipal yang ming junior high school,none,"Dates Employed
Apr 2020 – Present","Dates Employed
Mar 2020 – Present","Dates Employed
Mar 2020 – Apr 2020","Dates Employed
Nov 2018 – Jul 2019",,columnist,"search,engine,optimization,consultant","project,assistant","student,teacher",none,national chiao tung university,national kaohsiung normal university,kaohsiung industrial high school,"computer,vision,deep,learning,machine,learning,multi,task,learning"
quanta computer inc. quanta computer,none,none,none,none,"Dates Employed
Feb 2008 – Apr 2014",,,,,"bios,engineer",none,none,none,none,udacity,udacity,udacity,"bmc,firmware,engineer,foxconn,data,scientist,self,driving,car,machine,learning,iot,embedded,linux,bios"
"bio-inspired robotics lab, national taiwan university",national fire agency,none,syntec technology,none,"Dates Employed
Oct 2019 – Present","Dates Employed
Oct 2018 – Sep 2019","Dates Employed
Jul 2016 – Aug 2016",,,"research,assistant","alternative,military,service",none,"summer,intern,as,field,application,engineer,fae",none,national taiwan university,國立臺灣大學,national taiwan university,"graduated,from,m,s,in,robotics,and,looking,for,a,phd,position,in,machine,learning,on,eye,hand,coordination,research"
"cloudchip, inc",mcube inc,"mobile devices, inc",htc,"chi mei communication systems, inc","Dates Employed
Apr 2016 – Present","Dates Employed
Mar 2012 – Apr 2016","Dates Employed
Nov 2011 – Mar 2012","Dates Employed
Jan 2006 – Nov 2011","Dates Employed
Jan 2003 – Jan 2006","vp,of,software,system,and,application,ble,sensor,fusion,aiot,ai,algorithms,indoor,navigation","senior,director,of,software,and,system,engineering,mems,iot,wearable,sensor,fusion,algorithms","manager,gsm,phs,wifi,voip,chipset,design,house","manager,android,smartphone","senior,engineer,foxconn,now,microsoft,smartphone",national taiwan university of science and technology,national taiwan university of science and technology,none,"vp,of,software,system,and,application,at,cloudchip,inc,ble,algorithm,aiot,machine,learning,ai"
androvideo,ai4quant,mediatek,yuan-yin publishing co. ltd,ite tech. inc,"Dates Employed
Nov 2019 – Present","Dates Employed
May 2019 – Sep 2019","Dates Employed
Aug 2017 – Feb 2019","Dates Employed
Apr 2015 – Apr 2017","Dates Employed
Sep 2013 – Feb 2015","applied,deep,learning,engineer","ml,research,engineer","l1,softwarefirmware,engineer","it,specialist","senior,engineer",national taiwan university,national taiwan university,national taiwan university,"androvideo,applied,deep,learning,engineer"
amazon,htc,wicatch technology co.,leo burnett,asia pacific telecom co ltd (3682),"Dates Employed
Nov 2018 – Present","Dates Employed
Dec 2013 – Jul 2017","Dates Employed
Dec 2012 – Nov 2013","Dates Employed
Jun 2009 – May 2010","Dates Employed
Oct 2006 – Jul 2009","manager,research,analyst,data,mining,machine,learning","strategic,planner,ai,entity,deepq","business,planner","account,manager","marketing,intelligence,analyst",nyu s tern s choo l of bushinet s,university of bath,none,"strategy,data,mining,machine,learning,l,analytics,amazon"
leedarson group,gooee,huperlab,machvision inc (3563),none,"Dates Employed
Aug 2019 – Present","Dates Employed
May 2019 – Aug 2019","Dates Employed
Mar 2019 – May 2019","Dates Employed
Nov 2017 – Feb 2019",,"senior,algorithm,engineer","algorithm,engineer","algorithm,engineer","i,am,an,engineer",none,national taiwan university,national central university,none,"senior,algorithm,engineer,at,leedarson,group"
responsible trading company,incare,"apure technology co., ltd",yanfoma,good services inc.,"Dates Employed
Jun 2020 – Present","Dates Employed
Jul 2019 – Present","Dates Employed
Sep 2016 – Present","Dates Employed
Jun 2017 – Mar 2019","Dates Employed
Dec 2016 – May 2017",consultant,"machine,learning,engineer","software,engineer","chief,executive,officer","back,end,developer",soochow university,national chiao tung university,national tsing hua university,"i,help,organisations,start,and,or,grow,by,leveraging,information,and,data,training,people,and,facilitating,business,and,trade,artificial,intelligence,blockchain,international,trade,business"
miso technologies inc.,cofacts 真的假的,tsmc,national chengchi university,none,"Dates Employed
Mar 2020 – Present","Dates Employed
Mar 2020 – Present","Dates Employed
Jan 2018 – May 2020","Dates Employed
Oct 2013 – Aug 2017",,"deep,learning,engineer","data,scientist","senior,engineer","research,assistant",none,national chiao tung university,national chiao tung university,none,"deep,learning,engineer,at,miso,technologies,inc"
scientific formosa inc.,ernst & young global consulting services,lavender cottage ltd.,national conscription agency ministry of the interior,none,"Dates Employed
Jun 2019 – Present","Dates Employed
Sep 2017 – Jun 2019","Dates Employed
Sep 2016 – Jul 2017","Dates Employed
Jul 2014 – Sep 2014",,"data,product,manager","pi,consultant","project,manager","team,lead",none,stony brook university,national sun yat-sen university,national kaohsiung university of science and technology,"data,product,manager,machine,learning,bi,at,scientific,formosa,ex,e,y,pi,consultant"
sitronix technology corporation,wistron information technology and services corporation 緯創軟體,none,none,none,"Dates Employed
Apr 2017 – Present","Dates Employed
Feb 2016 – Feb 2017",,,,"algorithm,developer","software,development,engineer",none,none,none,national taiwan university,national taiwan university,none,"sitronix,technology,corporation,algorithm,developer"
inwinstack,sysage(聚碩科技),none,none,none,"Dates Employed
2014 – Present","Dates Employed
Dec 2010 – Dec 2013",,,,"business,development,manager","product,manager,presale",none,none,none,tamkang university,辭修高中,none,"business,development,medical,ai,ai,and,machine,learning,platform"
industrial technology research institute (itri) (industrial technology research institute (itri)),national tsing hua university,none,none,none,"Dates Employed
Mar 2019 – Present","Dates Employed
2008 – 2012",,,,engineer,"teaching,assistant",none,none,none,national tsing hua university,national central university,national chiao tung university,"algorithm,engineer"
"usi electronics (shenzhen) co., ltd.",none,none,none,none,"Dates Employed
Oct 2017 – Present",,,,,"machine,learning,engineer",none,none,none,none,national cheng kung university,national central university,none,"software,developer,at,usi,electronics,taiwan,co,ltd"
lips corp. - sense the world,mindtronic ai,none,turing drive inc.,none,"Dates Employed
Mar 2020 – Present","Dates Employed
Dec 2018 – Feb 2020","Dates Employed
Nov 2018 – Dec 2018",,,"algorithm,engineer","ai,computer,vision,engineer",none,"software,engineer",none,tamkang university,tamkang university,none,"lips,corp,algorithm,engineer"
"numbers co.,ltd.",dt42,canonical ltd.,viscovery visual search,national taiwan university,"Dates Employed
May 2019 – Present","Dates Employed
Jun 2016 – May 2019","Dates Employed
Nov 2015 – May 2016","Dates Employed
Mar 2012 – Oct 2015","Dates Employed
Oct 2010 – May 2011","founder,ceo","cofounder,deep,learning,researcher","software,engineertech,lead","data,scientist","postdoctoral,fellow",university of manchester - institute of science and technology,national taiwan university,taipei first girls senior high school,"founder,ceo,at,numbers"
xiaomi technology,zero zero robotics inc.,acti corporation,mediatek,syntek,"Dates Employed
Aug 2019 – Present","Dates Employed
May 2018 – Present","Dates Employed
Mar 2015 – Nov 2017","Dates Employed
Jun 2013 – Mar 2015","Dates Employed
Sep 2011 – Jun 2013","algorithm,engineer","algorithm,engineer","algorithm,engineer","algorithm,engineer","algorithm,engineer",national cheng kung university,udacity,national cheng kung university,"xiaomi,technology,algorithm,engineer"
xuenn pte ltd,xuenn pte ltd,hyweb,prompt apps,maxkit tech,"Dates Employed
Mar 2018 – Present","Dates Employed
Jul 2016 – Jan 2017","Dates Employed
Sep 2013 – May 2016","Dates Employed
2011 – 2013","Dates Employed
Jan 2009 – Feb 2011","enterprise,architect","senior,it,consultant","senior,engineer","director,of,apps","senior,software,engineer",chaoyang university of technology,none,none,"enterprise,architect,machine,learning,and,deep,learning,enthusiast,mobile,app,developer,speaker,senior,it,consultant"
"viswis, inc.","isafe technology, inc.",none,northrop grumman corporation,none,"Dates Employed
May 2002 – Present","Dates Employed
Sep 2007 – Jan 2012","Dates Employed
Sep 1995 – Sep 1999",,,president,cto,none,"lead,software,engineer",none,university of massachusetts at lowell,none,none,"machine,vision,expert"
retair.com,trend micro,none,none,none,"Dates Employed
Oct 2018 – Present","Dates Employed
Jan 2014 – Oct 2018",,,,"computational,data,scientist,algorithm,engineer","senior,software,engineer,data,engineer",none,none,none,national taiwan university,國立交通大學,none,"retchat,algorithm,engineer"
tsmc,none,none,none,none,"Dates Employed
Oct 2017 – Present",,,,,"machine,learning,engineer",none,none,none,none,national taiwan university,national yang ming university,none,tsmc
thinkpower information,none,none,none,none,"Dates Employed
May 2019 – Present",,,,,"nlp,rd,engineer",none,none,none,none,national cheng kung university,國立成功大學,none,"nlp,r,d,engineer"
friday music/ music,haitec automobile information technical center,none,none,none,"Dates Employed
Oct 2017 – Present","Dates Employed
Nov 2012 – Feb 2017",,,,"algorithm,engineer",engineer,none,none,none,national cheng kung university,institute of information industry,yuan-ze university,"fridaymusic,algorithm,engineer"
microsoft,batman,htc,cyberlink,none,"Dates Employed
Jul 2019 – Present","Dates Employed
Oct 2018 – Jun 2019","Dates Employed
Dec 2017 – Sep 2018","Dates Employed
Nov 2016 – Dec 2017",,"software,engineer,ii","senior,machine,learning,engineer","machine,learning,engineer","senior,machine,learning,engineer",none,national taiwan university,national taiwan university,none,"software,engineer,ii,at,microsoft"
delta,compal,sq,inventec,none,"Dates Employed
Oct 2014 – Present","Dates Employed
Oct 2010 – Oct 2014","Dates Employed
Sep 2009 – Sep 2010","Dates Employed
Oct 2007 – Aug 2009",,"principal,software,engineer","design,leader","image,processing,algorithm,engineer","software,engineer",none,national central university,national central university,none,"android,software,developer,video,and,image,algorithm,machine,learning"
cobrasonic software inc.,triumph technology inc.,none,none,none,"Dates Employed
Aug 2002 – Oct 2008","Dates Employed
Feb 2001 – Aug 2002",,,,manager,"sales,support,manager",none,none,none,ming c for university,none,none,"cloud,senior,consultant,at,ibm,db,ai,machine,learning,cloud,architecture"
facebook,scape technologies,scape technologies,taiwan ai labs,academia sinica contract,"Dates Employed
Feb 2020 – Present","Dates Employed
Dec 2019 – Feb 2020","Dates Employed
Sep 2019 – Oct 2019","Dates Employed
Jan 2019 – Jul 2019","Dates Employed
Oct 2013 – Dec 2018","research,scientist","computer,vision,researcher","phd,research,intern",intern,ra,national taiwan university,national taiwan university,national taiwan university,"research,scientist,at,facebook"
etradelogy,inwinstack,pbi inc.,idminer inc.,yum ing hui eco.,"Dates Employed
Jul 2020 – Present","Dates Employed
Aug 2018 – Jul 2020","Dates Employed
Jul 2009 – Mar 2012","Dates Employed
Apr 2008 – Jul 2009","Dates Employed
Apr 2005 – Mar 2007","ai,ml,ecommerce,manager","technical,writer","java,developer","business,intelligence,bi,manager","special,assistant,to,gm",azusa pacific university,california state university-long beach,none,"ai,manager,machine,learning,enthusiast,e,commerce,specialist,technical,writer,web,developer,python,php,sql,html5,artificial,intelligence,e,commerce,manager,machine,learning,enthusiast"
national taiwan university of science and technology,mediglow,gadjah mada university,telecommunication indonesia,o-waste,"Dates Employed
Sep 2019 – May 2020","Dates Employed
Sep 2014 – Jun 2017","Dates Employed
Feb 2017 – Mar 2017","Dates Employed
Dec 2015 – Dec 2016","Dates Employed
Jan 2016 – May 2016","graduate,research,assistant","founder,research,and,development,specialist","laboratory,assistant,of,ergonomic","student,internship","founder,project,manager",national taiwan university of science and technology,gadjah mada university (ugm),none,"i,'m,a,highly,motivated,and,passionate,data,scientist,whose,dream,is,to,use,my,talents,in,machine,learning,ai,statistical,analysis,and,big,data,analysis,to,solve,real,world,problems,and,make,the,others,achieve,more"
delta electronics,none,none,none,none,"Dates Employed
Apr 2016 – Present",,,,,"ai,scientist",none,none,none,none,national chengchi university,none,none,"ai,nlp,scientist"
industrial technology research institute (itri) (industrial technology research institute (itri)),signal processing and machine learning laboratory ntust,national taiwan university of science and technology,national taiwan university of science and technology,pt len industri (persero),"Dates Employed
Sep 2018 – Present","Dates Employed
Sep 2018 – Present","Dates Employed
Mar 2020 – Jun 2020","Dates Employed
Sep 2019 – Jan 2020","Dates Employed
Jun 2017 – Jul 2017","associate,researcher",researcher,"teaching,assistant","teaching,assistant",internship,national taiwan university of science and technology,institut teknologi sepuluh nopember surabaya,none,"seeking,for,a,position,in,machine,learning,engineer,2,years,experience,in,machine,learning,and,4,years,experience,in,computer,vision"
rogersai,qihoo 360 ai institute,emotibot technologies,iclink.tw (bitmain),"research center for information technology innovation, academia sinica","Dates Employed
Jul 2019 – Present","Dates Employed
Apr 2019 – Jul 2019","Dates Employed
Apr 2018 – Apr 2019","Dates Employed
Dec 2015 – Apr 2018","Dates Employed
Dec 2012 – Dec 2015","senior,algorithm,engineer","senior,algorithm,engineer","computer,vision,engineer","deep,learning,algorithm,engineer","research,assistant",national cheng kung university,national cheng kung university,none,"rogersai,senior,algorithm,engineer"
adlink technology,"tpv technology co., ltd.",quanta computer,marketech international corporation,"china picture tube co., ltd.","Dates Employed
Aug 2011 – Present","Dates Employed
Dec 2010 – Jul 2011","Dates Employed
Apr 2005 – Nov 2010","Dates Employed
Oct 2003 – Oct 2005","Dates Employed
Sep 2001 – Oct 2003","senior,product,manager","project,manager",engineer,engineer,engineer,tsinghua university,national cheng kung university,none,"senior,product,manager,of,machine,vision,and,deep,learning"
startup startup,pioneer fund,500 startups,perlin,entrepreneur first,"Dates Employed
Aug 2017 – Present","Dates Employed
Dec 2018 – Present","Dates Employed
Jun 2018 – Present","Dates Employed
2018 – 2019","Dates Employed
Dec 2017 – Apr 2018",building,"venture,partner",alumni,investor,alumni,massachusetts institute of technology,y combinator,university of maryland college park,"hiring,engineers,in,taiwan,jakarta"
national taiwan university,microsoft,none,none,none,"Dates Employed
Mar 2012 – Jul 2013","Dates Employed
Jul 2010 – Jun 2011",,,,"teach,assistant","software,developer,assistant",none,none,none,national taiwan university,national taiwan university,national taiwan university,"senior,research,and,development,engineer,trend,micro"
national tsing hua university,national central university business management association,none,none,none,"Dates Employed
Sep 2019 – Present","Dates Employed
Aug 2017 – Jul 2018",,,,"parttime,project,assistant",,none,none,none,national tsing hua university,national central university,none,"nthu,ieem,graduate,student,2021,ai,machine,vision,research,python,deep,learning,beginner"
far eastern group,"far eastern electronic toll collection co., ltd.",ncic,com2b corp.,none,"Dates Employed
Jan 2019 – Present","Dates Employed
May 2006 – Nov 2011","Dates Employed
Jun 2000 – May 2006","Dates Employed
Jun 1999 – Jun 2000",,consultant,president,"team,lead,business,planning,and,it,strategy,team",president,none,stony brook university,stony brook university,national taiwan university,"cloud,ai,machine,learning,business,analytics,will,bring,business,to,the,next,level"
"cathay life insurance co., ltd.",none,none,none,none,"Dates Employed
Nov 2018 – Present",,,,,"senior,specialist",none,none,none,none,national chengchi university,national chiao tung university,none,"quantitative,researcher"
wpg holdings limited grand united investment holdings (stock) company,佳能企業,none,administrative executive office of the ministry of justice,none,"Dates Employed
May 2019 – Present","Dates Employed
Feb 2016 – May 2019","Dates Employed
Jan 2015 – Dec 2015",,,"algorithm,engineer",,none,"fulltime,inquiry",none,national union university,none,none,"general,assembly,algorithm,engineer,of,shiping,industrial"
appier,cameo infotech inc.,none,none,none,"Dates Employed
Feb 2018 – Present","Dates Employed
Jun 2012 – Sep 2013",,,,"ai,backend,engineer","software,developer,quality,assurance,intern",none,none,none,national taiwan university,national chengchi university,none,"ai,backend,engineer,at,appier"
touch cloud,"gigamedia cloud services co., ltd.",advancedtek international corp.,acts,none,"Dates Employed
Feb 2016 – Present","Dates Employed
Oct 2013 – Dec 2015","Dates Employed
Jan 2006 – Oct 2013","Dates Employed
2000 – 2005",,"cofounder,and,ceo",ceo,sales,"managing,director",none,national chiao tung university,tsinghua university,none,"co,founder,and,ceo"
asus intelligent cloud services - aics,"aeolus robotics, inc.",none,none,none,"Dates Employed
May 2019 – Present","Dates Employed
Aug 2018 – May 2019",,,,"nlp,engineer","nlp,engineer",none,none,none,national taiwan university,kyushu university,national tsing hua university,"nlp,engineer"
your,none,none,none,none,"Dates Employed
Jul 2019 – Present",,,,,"field,sales",none,none,none,none,national chengchi university,national chengchi university,none,"sas,field,sales,analytics,data,mining,machine,learning,forecasting"
national taiwan normal university,international human resource certification institute,fubon financial holdings,"ctbc financial holding co., ltd. citic financial holding",shin kong financial holding company,"Dates Employed
Aug 2016 – Present","Dates Employed
Sep 2015 – Jan 2017","Dates Employed
Jan 2013 – Aug 2015","Dates Employed
Mar 2007 – Dec 2012","Dates Employed
May 2006 – Feb 2007","assistant,professor","managing,director","assistant,vice,president,head,of,international,hr","head,of,hr,department,taiwan,life","head,of,hr,service,center,masterlink,securities",national chengchi university,national taiwan university of science and technology,fu jen catholic university,"faculty,in,human,resource,technologies"
cathay financial holdings,kaggle freelance,udacity china,mobage l,audion innovision,"Dates Employed
Apr 2019 – May 2020","Dates Employed
Jan 2018 – Apr 2019","Dates Employed
Jun 2018 – Mar 2019","Dates Employed
Dec 2016 – Mar 2018","Dates Employed
Nov 2014 – Oct 2016","data,scientist","competition,master","data,scientist","data,scientist","data,engineer",national sun yat-sen university,none,none,"kaggle,competition,master,data,scientist,cathay,data,science,r,d,lab"
industrial technology research institute (itri) (industrial technology research institute (itri)),none,none,none,none,"Dates Employed
Nov 2013 – Jun 2015",,,,,"part,time,employee",none,none,none,none,national chiao tung university,university of jyväskylä,national chiao tung university,"senior,engineer,at,wistron,neweb,corporation"
mila - quebec artificial intelligence institute,appier,worldquant llc,microsoft,none,"Dates Employed
Jan 2019 – May 2019","Dates Employed
Mar 2018 – Sep 2018","Dates Employed
Sep 2017 – Jul 2018","Dates Employed
Jan 2018 – Feb 2018",,"research,intern","machine,learning,engineer,intern","research,intern","microsoft,student,partner",none,national taiwan university,none,none,"incoming,phd,student,in,computer,science,at,stanford"
